OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
11-9021,Construction Managers,detailed,329190,2.9,56.23,116960,0.5,31,39.25,50.43,65.17,82.71,64480,81640,104900,135550,172040
11-9030,Education and Childcare Administrators,broad,584630,0.4,51.84,107830,0.3,26.49,36.92,48.05,62.53,80.49,55100,76790,99940,130070,167430
11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,64090,1.7,29.48,61320,1.1,17.57,21.36,26.1,33.34,45.62,36550,44420,54290,69350,94890
11-9032,"Education Administrators, Kindergarten through Secondary",detailed,302580,0.6,*,111020,0.3,*,*,*,*,*,70050,83050,103460,131180,163010
11-9033,"Education Administrators, Postsecondary",detailed,167270,0.3,58.66,122010,0.3,30.27,38.32,49.33,65.97,100.9,62970,79700,102610,137230,209870
11-9039,"Education Administrators, All Other",detailed,50690,1.3,48.42,100720,0.7,23.78,31.16,42.53,57.75,76.06,49470,64800,88460,120120,158200
11-9040,Architectural and Engineering Managers,broad,207800,2.1,82.83,172290,0.5,51.63,63.89,79.5,97.61,112.31,107390,132890,165370,203030,233590
11-9041,Architectural and Engineering Managers,detailed,207800,2.1,82.83,172290,0.5,51.63,63.89,79.5,97.61,112.31,107390,132890,165370,203030,233590
11-9050,Food Service Managers,broad,246070,2.1,33.45,69580,0.8,20.67,24.22,30.32,38.29,48.67,42990,50390,63060,79630,101240
11-9051,Food Service Managers,detailed,246070,2.1,33.45,69580,0.8,20.67,24.22,30.32,38.29,48.67,42990,50390,63060,79630,101240
11-9070,Entertainment and Recreation Managers,broad,34290,1.9,41.34,85980,1.1,21.04,26.64,36.16,48.43,65.39,43760,55400,75210,100730,136020
11-9071,Gambling Managers,detailed,4590,1.6,47.24,98270,1.1,24.01,31.35,39.61,54.67,76.66,49940,65210,82380,113720,159440
11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,29690,2.1,40.42,84080,1.2,20.54,25.71,35.32,47.68,64.27,42730,53480,73460,99170,133680
11-9080,Lodging Managers,broad,41980,1.7,36.92,76790,1.1,18.88,23.74,31.42,42.27,61.1,39270,49380,65360,87930,127090
11-9081,Lodging Managers,detailed,41980,1.7,36.92,76790,1.1,18.88,23.74,31.42,42.27,61.1,39270,49380,65360,87930,127090
11-9110,Medical and Health Services Managers,broad,515100,0.6,64.64,134440,0.5,32.65,41.38,53.21,75.79,104.21,67900,86080,110680,157640,216750
11-9111,Medical and Health Services Managers,detailed,515100,0.6,64.64,134440,0.5,32.65,41.38,53.21,75.79,104.21,67900,86080,110680,157640,216750
11-9120,Natural Sciences Managers,broad,96520,1.5,81.31,169120,1.1,37.27,52.55,75.84,101.96,#,77520,109300,157740,212080,#
11-9121,Natural Sciences Managers,detailed,96520,1.5,81.31,169120,1.1,37.27,52.55,75.84,101.96,#,77520,109300,157740,212080,#
11-9130,Postmasters and Mail Superintendents,broad,13810,0.0,43.16,89770,0.0,38.01,39.9,42.63,45.99,50.45,79060,82990,88670,95660,104940
11-9131,Postmasters and Mail Superintendents,detailed,13810,0.0,43.16,89770,0.0,38.01,39.9,42.63,45.99,50.45,79060,82990,88670,95660,104940
11-9140,"Property, Real Estate, and Community Association Managers",broad,284120,1.1,37.69,78400,1.2,18.05,23.05,30.22,44.5,65.38,37540,47940,62850,92560,135990
11-9141,"Property, Real Estate, and Community Association Managers",detailed,284120,1.1,37.69,78400,1.2,18.05,23.05,30.22,44.5,65.38,37540,47940,62850,92560,135990
11-9150,Social and Community Service Managers,broad,173650,0.8,40.1,83400,0.7,23.5,29.26,37.03,47.47,61.32,48880,60860,77030,98740,127550
11-9151,Social and Community Service Managers,detailed,173650,0.8,40.1,83400,0.7,23.5,29.26,37.03,47.47,61.32,48880,60860,77030,98740,127550
11-9160,Emergency Management Directors,broad,11910,2.4,45.05,93690,0.5,24.2,30.11,40.37,53.94,72.87,50340,62630,83960,112190,151560
11-9161,Emergency Management Directors,detailed,11910,2.4,45.05,93690,0.5,24.2,30.11,40.37,53.94,72.87,50340,62630,83960,112190,151560
11-9170,Personal Service Managers,broad,25370,2.4,36.15,75190,1.5,17.72,23.57,31.02,43.43,57.57,36860,49020,64520,90330,119750
11-9171,Funeral Home Managers,detailed,14200,2.5,40.77,84800,1.0,21.56,28.68,36.37,47.39,63.16,44830,59650,75660,98560,131360
11-9179,"Personal Service Managers, All Other",detailed,11170,6.6,30.28,62980,2.6,14.9,19.91,27.68,35.41,48.03,31000,41410,57570,73650,99900
11-9190,Miscellaneous Managers,broad,589750,1.3,70.35,146320,0.3,32.39,47.11,64.21,83.9,108.23,67370,97990,133560,174510,225120
11-9199,"Managers, All Other",detailed,589750,1.3,70.35,146320,0.3,32.39,47.11,64.21,83.9,108.23,67370,97990,133560,174510,225120
13-0000,Business and Financial Operations Occupations,major,10087830,0.6,43.55,90580,0.3,21.86,28.65,38,50.66,67.55,45480,59590,79050,105360,140490
13-1000,Business Operations Specialists,minor,7048350,0.8,42.33,88040,0.3,21.55,28.2,37.74,50.33,65.78,44810,58660,78500,104690,136820
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,12870,7.0,63.85,132810,4.5,22.65,29.94,40.82,62.46,#,47100,62280,84900,129930,#
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,12870,7.0,63.85,132810,4.5,22.65,29.94,40.82,62.46,#,47100,62280,84900,129930,#
13-1020,Buyers and Purchasing Agents,broad,477980,1.0,37.43,77850,0.4,21,26.4,34.59,45.63,58.5,43680,54910,71950,94910,121680
13-1020,Buyers and Purchasing Agents,detailed,477980,1.0,37.43,77850,0.4,21,26.4,34.59,45.63,58.5,43680,54910,71950,94910,121680
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,302450,0.9,36.43,75760,0.3,22.84,28.33,36.07,43.59,50.61,47510,58920,75020,90670,105260
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,293780,0.9,36.43,75770,0.3,22.79,28.26,36.08,43.8,50.69,47390,58770,75050,91100,105440
13-1032,"Insurance Appraisers, Auto Damage",detailed,8670,4.7,36.37,75660,0.8,27.35,30.62,35.83,39.78,48.19,56890,63690,74520,82740,100240
13-1040,Compliance Officers,broad,383620,0.4,38.55,80190,0.3,21.05,27.01,36.38,48.24,59.48,43790,56180,75670,100340,123710
13-1041,Compliance Officers,detailed,383620,0.4,38.55,80190,0.3,21.05,27.01,36.38,48.24,59.48,43790,56180,75670,100340,123710
13-1050,Cost Estimators,broad,220970,0.8,38.23,79520,0.5,21.55,27.47,35.94,46.51,59.87,44820,57130,74740,96740,124520
13-1051,Cost Estimators,detailed,220970,0.8,38.23,79520,0.5,21.55,27.47,35.94,46.51,59.87,44820,57130,74740,96740,124520
13-1070,Human Resources Workers,broad,959230,1.5,37.15,77260,0.3,20.75,25.07,33.42,45.55,59.78,43160,52140,69520,94730,124330
13-1071,Human Resources Specialists,detailed,895970,1.6,36.57,76060,0.3,20.62,24.76,32.53,44.42,58.56,42900,51510,67650,92390,121800
13-1074,Farm Labor Contractors,detailed,460,24.9,24.71,51400,10.9,12.84,15.37,21.98,30.76,43.1,26700,31970,45730,63980,89640
13-1075,Labor Relations Specialists,detailed,62800,1.1,45.49,94620,0.9,23.25,31.56,43.26,57.99,67.08,48360,65650,89980,120610,139520
13-1080,Logisticians and Project Management Specialists,broad,1176100,1.1,48.55,100980,0.5,26.13,33.62,45.49,60.81,76.58,54350,69920,94630,126480,159290
13-1081,Logisticians,detailed,228470,0.9,40.69,84640,0.4,23.07,29.54,38.17,48.99,61.8,47990,61440,79400,101890,128550
13-1082,Project Management Specialists,detailed,947630,1.2,50.44,104920,0.5,27.65,35.62,47.39,62.35,78.39,57500,74100,98580,129690,163040
13-1110,Management Analysts,broad,838140,1.6,55.54,115530,1.4,27.81,35.84,47.8,62.89,82.83,57840,74540,99410,130800,172280
13-1111,Management Analysts,detailed,838140,1.6,55.54,115530,1.4,27.81,35.84,47.8,62.89,82.83,57840,74540,99410,130800,172280
13-1120,"Meeting, Convention, and Event Planners",broad,122130,1.3,29.94,62280,0.7,16.54,20.89,27.36,35.82,47.6,34410,43450,56920,74510,99010
13-1121,"Meeting, Convention, and Event Planners",detailed,122130,1.3,29.94,62280,0.7,16.54,20.89,27.36,35.82,47.6,34410,43450,56920,74510,99010
13-1130,Fundraisers,broad,101730,2.3,34.02,70760,0.8,18.96,23.83,30.85,39.96,51.3,39440,49560,64160,83120,106700
13-1131,Fundraisers,detailed,101730,2.3,34.02,70760,0.8,18.96,23.83,30.85,39.96,51.3,39440,49560,64160,83120,106700
13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,99850,1.3,38.76,80620,0.9,22.14,27.35,35.83,47.1,61.22,46050,56890,74530,97960,127340
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,99850,1.3,38.76,80620,0.9,22.14,27.35,35.83,47.1,61.22,46050,56890,74530,97960,127340
13-1150,Training and Development Specialists,broad,403480,0.7,34.6,71980,0.5,17.33,22.84,30.94,42.26,55.84,36050,47510,64340,87890,116140
13-1151,Training and Development Specialists,detailed,403480,0.7,34.6,71980,0.5,17.33,22.84,30.94,42.26,55.84,36050,47510,64340,87890,116140
13-1160,Market Research Analysts and Marketing Specialists,broad,846370,0.9,40,83190,0.4,19.25,25.4,35.9,49.26,65.89,40040,52840,74680,102450,137040
13-1161,Market Research Analysts and Marketing Specialists,detailed,846370,0.9,40,83190,0.4,19.25,25.4,35.9,49.26,65.89,40040,52840,74680,102450,137040
13-1190,Miscellaneous Business Operations Specialists,broad,1103440,0.4,42.85,89130,0.4,21.33,28.37,38.26,51.1,67.45,44370,59010,79590,106300,140300
13-1199,"Business Operations Specialists, All Other",detailed,1103440,0.4,42.85,89130,0.4,21.33,28.37,38.26,51.1,67.45,44370,59010,79590,106300,140300
13-2000,Financial Specialists,minor,3039480,0.5,46.37,96460,0.4,22.6,29.44,38.5,51.69,76.14,47000,61240,80090,107520,158360
13-2010,Accountants and Auditors,broad,1435770,0.4,43.65,90780,0.3,24.25,30.15,38.41,49.99,66,50440,62720,79880,103990,137280
13-2011,Accountants and Auditors,detailed,1435770,0.4,43.65,90780,0.3,24.25,30.15,38.41,49.99,66,50440,62720,79880,103990,137280
13-2020,Property Appraisers and Assessors,broad,62090,6.0,36.59,76110,4.7,17.42,22.39,29.63,40.19,56.05,36230,46560,61630,83600,116580
13-2020,Property Appraisers and Assessors,detailed,62090,6.0,36.59,76110,4.7,17.42,22.39,29.63,40.19,56.05,36230,46560,61630,83600,116580
13-2030,Budget Analysts,broad,47310,0.6,43.69,90880,0.4,27.29,32.95,40.84,51.67,63.29,56760,68540,84940,107470,131630
13-2031,Budget Analysts,detailed,47310,0.6,43.69,90880,0.4,27.29,32.95,40.84,51.67,63.29,56760,68540,84940,107470,131630
13-2040,Credit Analysts,broad,73200,1.2,45.56,94750,0.6,24.07,29.62,38.18,52.13,79.21,50060,61600,79420,108430,164750
13-2041,Credit Analysts,detailed,73200,1.2,45.56,94750,0.6,24.07,29.62,38.18,52.13,79.21,50060,61600,79420,108430,164750
13-2050,Financial Analysts and Advisors,broad,753990,0.8,59.29,123330,0.8,25.74,33.65,46.85,64.38,101.7,53540,69990,97450,133910,211540
13-2051,Financial and Investment Analysts,detailed,325220,0.8,54.3,112950,0.6,29.25,36.96,47.6,62.49,84.54,60830,76880,99010,129970,175840
13-2052,Personal Financial Advisors,detailed,272190,1.4,72.44,150670,1.7,23.43,31.41,47.88,81.69,#,48730,65320,99580,169910,#
13-2053,Insurance Underwriters,detailed,101310,3.5,41.16,85610,0.7,23.31,29.5,37.44,49.04,63.47,48480,61370,77860,102000,132010
13-2054,Financial Risk Specialists,detailed,55290,1.3,57.19,118950,0.6,29.37,38.05,51.01,67.8,88.62,61090,79140,106090,141030,184330
13-2060,Financial Examiners,broad,63440,1.3,47.18,98140,0.4,23.9,30.49,40.53,58.31,79.65,49710,63430,84300,121280,165670
13-2061,Financial Examiners,detailed,63440,1.3,47.18,98140,0.4,23.9,30.49,40.53,58.31,79.65,49710,63430,84300,121280,165670
13-2070,Credit Counselors and Loan Officers,broad,349040,0.8,39.43,82000,0.5,17.84,23.19,31.39,47.15,65.1,37120,48230,65280,98080,135400
13-2071,Credit Counselors,detailed,27950,2.1,25.69,53440,0.6,18.01,20.18,23.35,28.84,36.07,37460,41980,48570,59990,75030
13-2072,Loan Officers,detailed,321090,0.8,40.62,84490,0.5,17.8,23.62,33.65,48.09,67.05,37020,49130,69990,100020,139470
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,131910,1.5,29.28,60900,0.7,14.85,18.46,26,36.92,48.82,30880,38390,54080,76800,101550
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,50250,0.4,31.43,65370,0.1,18.12,21.81,28.14,37.75,51.76,37690,45360,58530,78520,107660
13-2082,Tax Preparers,detailed,81650,2.4,27.96,58160,1.2,14.02,17.15,23.56,36.55,47.5,29170,35670,49010,76020,98810
13-2090,Miscellaneous Financial Specialists,broad,122730,1.2,43.1,89650,0.9,20.92,27.85,37.65,50.51,67.29,43510,57930,78310,105060,139960
13-2099,"Financial Specialists, All Other",detailed,122730,1.2,43.1,89650,0.9,20.92,27.85,37.65,50.51,67.29,43510,57930,78310,105060,139960
15-0000,Computer and Mathematical Occupations,major,5177400,0.2,54.39,113140,0.4,24.93,35.53,50.1,67.81,84.98,51850,73900,104200,141040,176760
15-1200,Computer Occupations,minor,4804840,0.2,54.46,113270,0.4,24.71,35.46,50.2,68.04,85.09,51400,73750,104420,141530,176980
15-1210,Computer and Information Analysts,broad,674170,0.6,55.01,114420,0.4,30.81,39.4,50.88,65.52,81.65,64080,81950,105830,136280,169830
15-1211,Computer Systems Analysts,detailed,498810,0.8,53.27,110800,0.5,30.4,38.64,49.9,63.74,79.66,63230,80380,103800,132580,165700
15-1212,Information Security Analysts,detailed,175350,1.1,59.97,124740,0.5,33.28,43.29,57.87,73.82,87.68,69210,90050,120360,153550,182370
15-1220,Computer and Information Research Scientists,broad,35210,3.7,75.56,157160,1.0,39.16,52.88,69.75,89.02,112.07,81450,109990,145080,185160,233110
15-1221,Computer and Information Research Scientists,detailed,35210,3.7,75.56,157160,1.0,39.16,52.88,69.75,89.02,112.07,81450,109990,145080,185160,233110
15-1230,Computer Support Specialists,broad,848420,0.7,31.95,66450,0.4,18.51,22.92,29.24,37.76,48.67,38490,47670,60810,78540,101230
15-1231,Computer Network Support Specialists,detailed,158720,1.4,37.81,78640,0.7,21.95,26.3,34.39,44.5,58.61,45660,54700,71530,92570,121920
15-1232,Computer User Support Specialists,detailed,689700,0.9,30.6,63640,0.4,18.12,22.38,28.48,36.52,46.65,37690,46550,59240,75950,97020
15-1240,Database and Network Administrators and Architects,broad,633180,0.7,54.67,113710,0.6,29.7,38.46,50.83,66.23,82.3,61770,79990,105720,137760,171190
15-1241,Computer Network Architects,detailed,174100,1.3,64.39,133930,0.7,37.48,48.14,62.42,78.88,93.75,77960,100120,129840,164080,195000
15-1242,Database Administrators,detailed,76140,1.4,50.39,104810,0.8,26.12,34.59,48.8,64,75.82,54320,71940,101510,133120,157710
15-1243,Database Architects,detailed,59920,3.6,65.88,137030,1.7,36.54,50.16,64.76,80.18,93.73,76000,104330,134700,166780,194960
15-1244,Network and Computer Systems Administrators,detailed,323020,0.7,48.36,100580,0.5,28.21,35.77,45.84,58.61,71.49,58680,74400,95360,121910,148710
15-1250,"Software and Web Developers, Programmers, and Testers",broad,2176710,0.5,62.74,130500,0.3,32.18,44.54,61.11,78.66,97.47,66930,92650,127120,163610,202730
15-1251,Computer Programmers,detailed,120370,2.4,51.8,107750,1.1,28.34,35.87,47.94,62.33,80.4,58950,74610,99700,129650,167230
15-1252,Software Developers,detailed,1656880,0.7,66.4,138110,0.4,37.03,48.65,63.59,80.55,100.3,77020,101200,132270,167540,208620
15-1253,Software Quality Assurance Analysts and Testers,detailed,203040,1.1,52.15,108460,0.6,28.24,37.72,48.94,62.8,79.1,58740,78470,101800,130630,164520
15-1254,Web Developers,detailed,85350,4.8,45.95,95570,1.9,22.53,29.66,40.84,55.95,75.61,46850,61690,84960,116370,157280
15-1255,Web and Digital Interface Designers,detailed,111060,3.0,52.32,108820,0.8,23.18,31.74,47.37,67.07,84.85,48210,66020,98540,139500,176490
15-1290,Miscellaneous Computer Occupations,broad,437170,0.8,54.05,112430,0.5,23.89,34.61,50.44,68.18,83.8,49690,71990,104920,141820,174300
15-1299,"Computer Occupations, All Other",detailed,437170,0.8,54.05,112430,0.5,23.89,34.61,50.44,68.18,83.8,49690,71990,104920,141820,174300
15-2000,Mathematical Science Occupations,minor,372550,0.7,53.53,111340,0.4,27.95,36.35,48.78,65.36,83.73,58130,75610,101460,135950,174160
15-2010,Actuaries,broad,25470,2.6,63.7,132500,1.4,36.24,42.51,57.69,79,100.63,75380,88420,120000,164320,209310
15-2011,Actuaries,detailed,25470,2.6,63.7,132500,1.4,36.24,42.51,57.69,79,100.63,75380,88420,120000,164320,209310
15-2020,Mathematicians,broad,2220,2.5,57.58,119770,0.9,29.93,39.38,55.98,71.27,88.22,62260,81910,116440,148240,183500
15-2021,Mathematicians,detailed,2220,2.5,57.58,119770,0.9,29.93,39.38,55.98,71.27,88.22,62260,81910,116440,148240,183500
15-2030,Operations Research Analysts,broad,117880,1.2,45.96,95600,0.6,25.45,31.85,40.21,55.38,71.6,52930,66250,83640,115190,148920
15-2031,Operations Research Analysts,detailed,117880,1.2,45.96,95600,0.6,25.45,31.85,40.21,55.38,71.6,52930,66250,83640,115190,148920
15-2040,Statisticians,broad,29950,3.2,52.5,109190,0.8,28.22,37.57,50.05,64.88,78.54,58690,78140,104110,134950,163360
15-2041,Statisticians,detailed,29950,3.2,52.5,109190,0.8,28.22,37.57,50.05,64.88,78.54,58690,78140,104110,134950,163360
15-2050,Data Scientists,broad,192710,1.2,57.23,119040,0.4,29.36,38.37,51.93,70.99,88.51,61070,79810,108020,147670,184090
15-2051,Data Scientists,detailed,192710,1.2,57.23,119040,0.4,29.36,38.37,51.93,70.99,88.51,61070,79810,108020,147670,184090
15-2090,Miscellaneous Mathematical Science Occupations,broad,4320,5.3,40.06,83330,4.0,18.46,23.94,33.95,47.95,74.59,38400,49800,70620,99730,155150
15-2099,"Mathematical Science Occupations, All Other",detailed,4320,5.3,40.06,83330,4.0,18.46,23.94,33.95,47.95,74.59,38400,49800,70620,99730,155150
17-0000,Architecture and Engineering Occupations,major,2539660,0.5,47.64,99090,0.4,24.58,32.52,43.95,59.68,76.74,51130,67640,91420,124130,159630
17-1000,"Architects, Surveyors, and Cartographers",minor,194610,1.2,43.48,90430,0.8,23.43,30.23,38.87,49.57,63.91,48740,62880,80850,103100,132940
17-1010,"Architects, Except Naval",broad,131540,1.4,47.05,97860,1.1,27.59,32.9,41.25,52.58,68.23,57400,68420,85800,109360,141910
17-1011,"Architects, Except Landscape and Naval",detailed,111170,1.3,48.27,100400,1.3,28.31,35.21,44.86,56.14,72.74,58870,73240,93310,116780,151300
17-1012,Landscape Architects,detailed,20370,6.1,40.38,83990,1.1,24.04,29.58,38.13,46.71,60.38,50000,61520,79320,97170,125600
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,63070,3.1,36.03,74940,0.7,20.7,25.6,34.04,44.39,53.25,43050,53260,70810,92320,110760
17-1021,Cartographers and Photogrammetrists,detailed,12330,4.0,37.89,78810,0.8,23.39,29.06,36.64,45.97,54.59,48660,60430,76210,95610,113540
17-1022,Surveyors,detailed,50740,3.9,35.58,74000,0.8,19.92,24.51,32.95,44,52.72,41430,50970,68540,91520,109660
17-2000,Engineers,minor,1703700,0.9,53.79,111890,0.4,31.54,38.75,49.36,63.82,80.84,65610,80600,102660,132750,168150
17-2010,Aerospace Engineers,broad,66660,1.6,64.58,134330,0.7,39.24,48.91,62.85,80.1,90.82,81620,101730,130720,166610,188910
17-2011,Aerospace Engineers,detailed,66660,1.6,64.58,134330,0.7,39.24,48.91,62.85,80.1,90.82,81620,101730,130720,166610,188910
17-2020,Agricultural Engineers,broad,1860,19.8,44.95,93490,2.1,29.88,38.28,42.67,48.57,61.34,62150,79620,88750,101030,127590
17-2021,Agricultural Engineers,detailed,1860,19.8,44.95,93490,2.1,29.88,38.28,42.67,48.57,61.34,62150,79620,88750,101030,127590
17-2030,Bioengineers and Biomedical Engineers,broad,19320,3.5,51.3,106700,0.8,32.74,39.12,48.43,60.47,74.21,68100,81370,100730,125780,154350
17-2031,Bioengineers and Biomedical Engineers,detailed,19320,3.5,51.3,106700,0.8,32.74,39.12,48.43,60.47,74.21,68100,81370,100730,125780,154350
17-2040,Chemical Engineers,broad,21140,3.3,59.09,122910,2.1,36.37,44.05,53.9,68.66,84.82,75650,91630,112100,142810,176420
17-2041,Chemical Engineers,detailed,21140,3.3,59.09,122910,2.1,36.37,44.05,53.9,68.66,84.82,75650,91630,112100,142810,176420
17-2050,Civil Engineers,broad,327950,1.5,48.64,101160,0.5,30.4,36.78,46.1,59.14,72.42,63220,76500,95890,123010,150640
17-2051,Civil Engineers,detailed,327950,1.5,48.64,101160,0.5,30.4,36.78,46.1,59.14,72.42,63220,76500,95890,123010,150640
17-2060,Computer Hardware Engineers,broad,82660,2.3,71.04,147770,1.3,39.25,52.24,66.38,84.33,102.29,81630,108670,138080,175400,212770
